文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_76.cnf,SAT,SAT,11.74,485998.30,0.05,485981.38,11.69,16.91,[GREEN]1672,[GREEN]1439,[GREEN]1220,[GREEN]1014
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_807.cnf,SAT,SAT,12.74,488280.38,0.07,488263.18,12.68,17.20,[GREEN]1888,[GREEN]1443,[GREEN]1526,[GREEN]1128
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_822.cnf,SAT,SAT,11.44,593511.42,0.07,593493.84,11.38,17.58,[GREEN]2105,[GREEN]1769,[GREEN]1343,[GREEN]1043
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_869.cnf,SAT,SAT,14.36,403735.56,0.06,403708.90,14.30,26.65,[GREEN]1656,[GREEN]1215,[GREEN]1421,[GREEN]1028
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_895.cnf,SAT,SAT,12.38,560973.94,0.07,560953.94,12.32,20.00,[GREEN]1882,[GREEN]1648,[GREEN]1482,[GREEN]1242
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_932.cnf,SAT,SAT,10.83,429631.04,0.04,429603.25,10.79,27.79,[GREEN]1323,[GREEN]1276,[GREEN]1062,[GREEN]1019
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_977.cnf,SAT,SAT,12.48,397022.78,0.04,397006.87,12.44,15.91,[GREEN]1255,[GREEN]1165,[GREEN]1103,[GREEN]1021
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_98.cnf,SAT,SAT,11.69,514942.97,0.06,514926.11,11.63,16.86,[GREEN]1796,[GREEN]1513,[GREEN]1279,[GREEN]1019
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_113.cnf,SAT,SAT,10.73,457980.29,0.04,457962.83,10.69,17.46,[GREEN]1354,[GREEN]1353,[YELLOW]1145,[YELLOW]1154
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_118.cnf,SAT,SAT,10.53,424309.74,0.04,424294.21,10.49,15.53,[GREEN]1269,[GREEN]1230,[GREEN]1047,[GREEN]1004
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_139.cnf,SAT,SAT,10.98,485351.19,0.05,485332.42,10.94,18.77,[YELLOW]1418,[YELLOW]1420,[GREEN]1182,[GREEN]1162
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_18.cnf,SAT,SAT,12.10,477150.03,0.07,477133.92,12.03,16.11,[GREEN]2040,[GREEN]1410,[GREEN]1596,[GREEN]1024
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_204.cnf,SAT,SAT,11.62,414249.24,0.05,414232.02,11.56,17.23,[GREEN]1591,[GREEN]1232,[GREEN]1385,[GREEN]1061
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_206.cnf,SAT,SAT,11.70,573355.09,0.05,573335.24,11.64,19.86,[GREEN]1746,[GREEN]1687,[GREEN]1312,[GREEN]1221
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_215.cnf,SAT,SAT,11.17,453590.27,0.04,453573.89,11.13,16.38,[GREEN]1324,[GREEN]1305,[GREEN]1100,[GREEN]1097
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_217.cnf,SAT,SAT,11.52,545807.54,0.05,545788.17,11.47,19.37,[YELLOW]1589,[YELLOW]1590,[GREEN]1278,[GREEN]1258
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_23.cnf,SAT,SAT,13.03,501166.10,0.06,501147.48,12.97,18.62,[GREEN]1499,[GREEN]1490,[GREEN]1313,[GREEN]1303
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_278.cnf,SAT,SAT,12.05,591686.18,0.06,591661.58,11.98,24.61,[GREEN]1798,[GREEN]1739,[GREEN]1560,[GREEN]1452
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_322.cnf,SAT,SAT,11.21,426932.02,0.05,426915.69,11.17,16.33,[GREEN]1398,[GREEN]1255,[GREEN]1226,[GREEN]1049
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_333.cnf,SAT,SAT,10.80,440804.30,0.04,440787.66,10.75,16.64,[GREEN]1344,[GREEN]1300,[GREEN]1148,[GREEN]1089
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_399.cnf,SAT,SAT,11.36,424287.39,0.05,424271.75,11.30,15.64,[GREEN]1572,[GREEN]1242,[GREEN]1372,[GREEN]1047
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_426.cnf,SAT,SAT,11.56,487262.20,0.05,487246.60,11.51,15.61,[GREEN]1575,[GREEN]1431,[GREEN]1129,[GREEN]1003
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_491.cnf,SAT,SAT,11.13,518640.92,0.06,518622.14,11.08,18.77,[GREEN]1826,[GREEN]1534,[GREEN]1284,[GREEN]1022
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_517.cnf,SAT,SAT,11.70,412965.48,0.05,412949.48,11.64,16.00,[GREEN]1598,[GREEN]1219,[GREEN]1372,[GREEN]1043
