文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_407.cnf,SAT,SAT,13.25,139431.60,0.04,139414.25,13.21,17.35,1238,1277,1022,1060
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_532.cnf,SAT,SAT,14.14,175381.04,0.05,175361.87,14.08,19.17,1608,1606,1348,1338
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_560.cnf,SAT,SAT,13.66,163552.86,0.04,163534.98,13.62,17.88,1391,1498,1070,1158
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_613.cnf,SAT,SAT,12.80,152075.15,0.05,152059.03,12.76,16.12,1536,1284,1256,1025
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_699.cnf,SAT,SAT,12.90,217489.42,0.04,217467.97,12.87,21.46,1294,1998,1034,1587
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_709.cnf,SAT,SAT,14.32,137976.71,0.04,137958.55,14.28,18.16,1269,1255,1058,1046
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_721.cnf,SAT,SAT,19.27,214525.11,0.05,214500.04,19.22,25.07,1757,1929,1198,1309
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_735.cnf,SAT,SAT,12.78,219241.75,0.05,219222.89,12.73,18.86,1890,2005,1176,1267
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_748.cnf,SAT,SAT,13.57,149759.26,0.05,149741.87,13.52,17.39,1457,1364,1148,1069
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_759.cnf,SAT,SAT,12.74,140258.85,0.04,140241.92,12.70,16.93,1243,1289,1100,1124
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_786.cnf,SAT,SAT,16.26,149403.84,0.04,149383.66,16.22,20.18,1373,1348,1159,1143
